item_id,calories,fat_grams,sodium_mg,carbohydrates_grams,sugar_grams,protein_grams
825,510,27,1350,47,9,23
826,460,20,1330,47,9,26
827,490,23,1310,45,7,26
828,630,27,1440,65,8,33
829,550,26,1130,43,6,36
830,530,15,1330,65,20,29
831,580,30,1450,46,7,31
832,590,32,1470,44,7,31
833,750,33,1840,78,28,34
834,610,31,1710,46,8,35
835,490,28,1170,45,8,16
836,530,31,900,43,7,20
837,570,32,2100,45,7,27
838,750,43,1480,49,8,40
839,690,36,1930,54,9,38
840,280,5,790,43,6,18
841,400,18,930,43,6,17
842,530,17,1280,66,9,30
843,410,17,1380,44,6,20
844,450,17,1160,49,8,24
845,310,5,640,41,5,25
846,360,10,1110,41,6,24
847,360,4,900,57,19,23
848,440,22,680,40,5,19
849,280,5,870,43,7,19
850,210,3,370,39,6,10
851,270,4,700,40,6,22
852,260,6,700,41,6,11
853,390,11,690,56,8,16
854,170,3,460,28,4,11
855,180,3,540,28,5,12
856,140,2,250,26,4,7
857,240,7,550,33,5,13
858,190,7,690,25,5,10
859,200,7,630,23,5,10
860,110,3,500,13,5,11
861,240,17,620,12,5,12
862,320,11,870,33,6,25
863,240,16,1080,13,6,15
864,290,16,800,22,9,18
865,150,4,340,10,5,20
866,160,6,620,13,6,17
867,240,4,760,34,26,18
868,280,21,380,10,5,14
869,120,3,570,13,6,12
870,50,1,75,9,5,3
871,110,2,410,10,5,14
872,120,5,400,14,7,6
873,220,10,390,26,7,9
874,810,35,1420,91,5,34
875,690,40,1250,73,5,12
876,620,26,1390,73,5,25
877,510,6,1140,90,24,23
878,930,33,1750,119,6,40
879,760,33,1390,100,5,18
880,820,32,1820,102,7,31
881,700,12,1570,119,25,29
882,540,31,1120,42,6,22
883,490,28,940,42,6,18
884,520,29,1150,44,6,23
885,640,37,1330,55,4,23
886,590,33,1150,55,4,19
887,620,34,1360,57,5,23
888,300,17,670,23,4,14
889,280,15,580,23,4,12
890,290,16,650,24,4,14
891,220,10,95,29,16,2
892,210,9,125,29,20,2
893,210,9,110,29,17,3
894,200,8,110,30,16,3
895,210,9,115,29,16,2
896,210,10,125,28,17,2
897,50,0,0,12,10,0
898,350,16,180,48,34,3
899,50,1,350,8,2,3
900,360,22,800,21,6,21
901,150,7,710,18,7,6
902,150,7,850,14,6,6
903,70,3,1160,6,1,7
904,200,14,910,17,4,9